feedId,descr,trim_audio
3671,"St. Joseph County Sheriff, Police, Fire and EMS",False
3683,"Wayne County Sheriff and Fire, Wooster, Rittman, Doylestown Police, Rittamn EMS",False
3691,Evansville Police and Fire Dispatch,False
3751,Schoharie County Public Safety,False
3790,Lycoming County Public Safety,True
3818,Buffalo Fire,False
3831,"Coles County Fire, EMS and EMA",True
3969,Eastern Massachusetts State Police,False
3973,Parsippany Fire and Operations - Digital,False
4041,Rankin County Police and Fire,False
4043,"Livingston County Sheriff, Police, Fire and EMS",False
4067,St. Charles County EMS and Fire Scene Radio Traffic,False
4092,"Tri-County Public Safety

",False
4130,"Oneida, Herkimer, and Madison Counties Public Safety",False
4136,Berks County Fire and EMS - Digital,False
4142,"Springfield Police and Fire, Greene County Sheriff and Fire",True
4157,Jackson Police and Fire,False
4180,Auburn and Lewiston Fire and EMS,False
4213,Rocky Mountain Rescue Group,False
4233,Tulare County Sheriff 1,True
4241,Clatsop County Public Safety,False
4352,Lenoir County and Kinston Fire Dispatch,False
4563,"Raleigh County Police, Bradley Fire and WV State Police",False
4575,Branford Fire,False
4603,Philadelphia Police - Citywide,False
4654,"Deschutes, Crook, Jefferson counties Fire / EMS",False
4670,Floyd County Fire Dispatch,False
4822,Eau Claire County Law Enforcement,False
4881,"Fairfield, Vacaville, and Suisun Police, Fire and EMS",False
4884,Coshocton City and County Fire,False
4913,"Oneida, Vilas, Lincoln, and Langlade Counties Police, Fire and EMS / Forest EMS",False
5017,Franklin Police and Fire,False
5035,"Crawford County Sheriff, Police, Fire and EMS",False
5053,Connecticut State Police and Bristol Fire and EMS,False
5094,Gratiot County Police and Fire,False
5101,Henry County Public Safety,False
5104,Middletown and Monmouth County Bayshore Towns Fire / EMS,False
5138,Lakes Region Mutual Fire Aid Association,False
5161,Worcester City Fire and EMS,False
5163,Worcester City Police,False
5184,Cincinnati Fire,False
5225,South Worcester County Communications Center,False
5250,King George County Fire and EMS,False
5266,"Ionia County Sheriff, Fire and EMS",False
5318,Dallas City Police - 1 Central,False
5331,"Dearborn County Police, Fire and EMS",True
5342,"Natchitoches Parish, Sabine Parish, and Vernon Parish Public Safety",False
5358,Columbia and Montour County Fire and EMS Dispatch,False
5368,Saline County Law Enforcement and AWIN,True
5424,"Louisiana State Police - Troops B, C, L",True
5444,Mineral County Public Safety and Amateur Repeaters ,True
5447,Rockland County Fire 2 and 3 - 44-Control,True
5465,Marion County METCOM North-1 Fire,False
5578,"NSW Far South Coast Fire, Flood and Storm",False
5661,Hamden Fire,False
5675,"Darke, Mercer, Randolph, Shelby and Jay Counties Fire and EMS",False
5684,Lower Naugatuck Valley Fire and EMS,False
5688,Sacramento County Sheriff and City Police,False
5698,"Citrus Heights Police, Folsom Police, Elk Grove Police and Galt Police",False
5712,Stratford Fire and EMS - Analog,False
5725,Des Moines Police Dispatch 1,False
5728,Wythe County and Town of Wytheville Fire and EMS,False
5822,Indiana County Fire Dispatch and Fireground Operations,False
5849,"Barry County Sheriff, Fire, and EMS",False
5909,Lumpkin County Fire Dispatch,False
5915,"Kenosha County Sheriff, Silver and Twin Lakes Police",True
5930, Douglas County Fire Department 800Mhz,False
6007,"Jefferson County Police, Fire and EMS",False
6053,Anderson County Law Enforcement,False
6074,Washington County Sheriff Dispatch,False
6089,Waltham Fire,False
6149,"Barton County Sheriff, Police, Fire and EMS",False
6156,California Police and Moniteau County Sheriff,False
6168,Putnam County NY FIRE & EMS-Response Div 4,False
6248,"Mendocino County Sheriff, Fire, EMS, Cal Fire and CHP",False
6250,Warren County and McMinnville Public Safety,False
6300,Ipswich Fire Dispatch,False
6302,Muhlenberg County Fire,False
6316,Tulare County Sheriff 2,True
6336,San Francisco City Fire and EMS,False
6369,Tulare City Police and Fire Dispatch,True
6377,Tacoma Fire,False
6413,Douglas County Sheriff and Fire,False
6436,"Jefferson County Sheriff, Fire and EMS",False
6502,"Southern Rhode Island, Southeastern Massachusetts, and Eastern Connecticut Public Safety",False
6561,"Flathead County Law, Fire and EMS",False
6773,Pictou County Fire VHF Paging & Ops,True
6779,Windsor County Fire - South,False
6787,Claremont Police and Fire,False
6850,Rochester Police,False
6855,Litchfield County Fire and EMS Departments - Southern,False
6882,"Delta County Law, Fire and EMS",True
6901,"Washington County Police, Fire and EMS",False
6903,"Butler County Area Sheriff, Police, EMS and EMA",False
6956,Westfield Fire and Union County Fire Mutual Aid,False
7004,Ocean County Fire and EMS - Northern,False
7006,Agawam Fire and EMS,False
7010,San Bernardino County Fire - High Desert,True
7047,"Humboldt County Law, Fire and EMS - Eureka and South",False
7160,Ingham Out-County Fire and EMS,True
7191,"Fayetteville Police, Fire, and EMS",False
7192,Duncan Police and Stephens County Sheriff,False
7287, Norfolk City Police Dispatch - 2nd Precinct,False
7296,Clifton Fire and EMS,False
7324,Rochelle Park and Maywood Fire,False
7364,Reno and Sparks Police and Fire,False
7372,Tulare County Fire and CHP Pink,True
7392,Hatzolah EMS Dispatch,False
7543,Hampden County Fire Departments,False
7576,Southern Rhode Island and Southeastern Connecticut Fire and EMS,False
7605,"Logan County Sheriff, Fire and EMS, Atlanta Fire",False
7647,"Cass County Sheriff, Police, Fire, and Skywarn",False
7671,Stafford County and Fredericksburg Fire and EMS ,False
7700,Allegheny County Fire - East,False
7743,Mareeba Police,False
7747,Gurnee and Newport Township Fire Departments,False
7790,Genesee County Common and Mutual Aid,False
7791,Genesee County EMS,False
7792,Genesee County Fire,False
7800,Fenton City Police and Fire,False
7815,Flint City Fire,False
7860,Siskiyou and Northern Shasta Counties Fire ,True
7959,Frederick County Fire and Rescue Dispatch,False
7971,"Allegheny County Police, Fire and EMS - Southern Areas",True
8051,Fort Payne Police,False
8117,Howard County Fire Dispatch,False
8182,Livingston County Fire and EMER ,False
8192,Sayville Fire Dispatch,False
8229,"North Manchester Police, Fire, and EMS",False
8277,Sweet Grass County Public Safety,False
8294,"Yuba County Sheriff, Wheatland and Marysville Public Safety",False
8317,Westcom Police Dispatch,False
8394,"Jackson County Police, Fire, and EMS",False
8401,"Morgan County Sheriff, Police, Fire and EMS",False
8543,Elko City and County Public Safety,True
8609,Jefferson County Police and Fire,False
8621,Blount County Fire & EMS Dispatch,True
8637,"Louisville MetroSafe Suburban Fire 5 - 8, Okolona Tac 80",False
8666,Middleton Police,False
8684,LA County Fire: D-3 TRO & Command C30-C33,False
8690,East Windsor Fire and EMS,False
8705,Greater New Haven Police,False
8755,"DeWitt County Sheriff and Fire, Cuero Police and EMS",True
8787,SIM Montreal Fire Dispatch,False
8811,Stoughton Area Fire Agencies,False
8846,"West Allis Police, Fire, EMS and DPW",False
8919,Chula Vista Police and Fire,False
8972,Roane County Fire and EMS,False
8978,Wyoming County Fire and EMS,False
9053,Plainville Fire,False
9079,Tolland County Fire Departments,False
9119,"Bradley County Sheriff, Cleveland Police, Fire Rescue and MAC",False
9121,"Miami County Police, Fire and EMS - Central",False
9125,New Bedford Fire,False
9186,Delaware County Fire - Ops 1,False
9189,Cortland County Public Safety,False
9247,Torrington Police and Fire,False
9276,Kings County Sheriff and Corcoran Police,False
9312,Flower Mound Fire Department Dispatch,False
9340,Stockton Police and Fire Dispatch,False
9366,Eastern Columbia and Western Luzerne Fire and EMS,False
9392,"Pulaski county Sheriff, Fire and EMS",False
9413,"Watauga County Fire, EMS and Rescue, Boone and Blowing Rock Fire",False
9474,"Springfield, Nixa, Ozark, Republic, Marshfield and Greene County Fire ",True
9518,"Randolph County Sheriff and EMS, Moberly Police / Fire",False
9574,"Brown County Sheriff, Aberdeen Fire/Rescue, State Highway Patrol

",True
9581,"Berkshire County Fire, Police and EMS - Central-Northern",False
9597,Dane County Fire,False
9689,Lake Oswego Fire,False
9721,Norfolk County Fire Control,False
9741,Tioga County Sheriff and Fire,False
9751,Rice County Fire and EMS,False
9766,Yamhill County Fire,True
9768,Jackson County Public Safety and MSWIN,False
9783,"Chesterfied County EMS, McBee Rescue, and Alligator Fire District",False
9797,Lincoln and Pike Counties Fire and EMS,False
9809,"Frederick County Sheriff, Fire and EMS, State Police",False
9821,Fulton County Public Safety,False
9840,Milwaukee County Law Enforcement,False
9841,Kalgoorlie Fire and Rail,False
9878,Hopkinton Fire,False
9974,Harrison Metro Area Fire & EMS,False
9993,Montgomery Borough area Fire and EMA,False
10114,"Olean Police and Fire, Cattaraugus County Sheriff / Fire, NYSP-TROOP-A",False
