timestamp	step	target	active	ffmpeg	cpu_pct	rss_mb
2026-04-16T21:28:52Z	1	40	40	1	9.77	218.3
2026-04-16T21:29:24Z	1	40	40	1	9.24	217.8
2026-04-16T21:29:56Z	1	40	40	1	10.37	217.7
2026-04-16T21:30:28Z	1	40	40	1	11.22	219.3
2026-04-16T21:31:00Z	1	40	40	1	8.59	218
2026-04-16T21:31:33Z	1	40	40	1	11.61	219.7
2026-04-16T21:32:05Z	1	40	40	1	13.12	218
2026-04-16T21:32:37Z	1	40	40	1	11.38	218.3
2026-04-16T21:33:09Z	1	40	40	1	9.81	220.6
2026-04-16T21:33:41Z	1	40	40	1	10.05	219.4
2026-04-16T21:34:13Z	1	40	40	1	10.86	217.8
2026-04-16T21:34:45Z	1	40	40	1	9.42	220.2
2026-04-16T21:35:17Z	1	40	40	1	10.53	222.2
2026-04-16T21:35:49Z	1	40	40	1	12.34	218.8
2026-04-16T21:36:21Z	1	40	40	1	12.48	220.3
2026-04-16T21:36:53Z	1	40	40	1	10.61	222.6
2026-04-16T21:37:25Z	1	40	40	1	10.80	222.7
2026-04-16T21:37:57Z	1	40	40	1	11.37	222.7
2026-04-16T21:38:29Z	1	40	40	1	13.21	222
2026-04-16T21:44:01Z	2	80	80	1	11.65	328.1
2026-04-16T21:44:33Z	2	80	80	1	15.07	330.6
2026-04-16T21:45:06Z	2	80	80	1	13.77	326.8
2026-04-16T21:45:38Z	2	80	80	1	15.20	330
2026-04-16T21:46:10Z	2	80	80	1	16.82	329.7
2026-04-16T21:46:42Z	2	80	80	1	13.86	329.5
2026-04-16T21:47:14Z	2	80	80	1	15.08	330.7
2026-04-16T21:47:46Z	2	80	80	1	14.65	328.9
2026-04-16T21:48:18Z	2	80	80	1	14.31	330.7
2026-04-16T21:48:50Z	2	80	80	1	14.57	332.2
2026-04-16T21:49:22Z	2	80	80	1	14.27	328.2
2026-04-16T21:49:54Z	2	80	80	1	13.71	330.3
2026-04-16T21:50:26Z	2	80	80	1	13.45	331.4
2026-04-16T21:50:58Z	2	80	80	1	16.02	330.8
2026-04-16T21:51:30Z	2	80	80	1	10.95	332
2026-04-16T21:52:02Z	2	80	80	1	15.26	327.8
2026-04-16T21:52:34Z	2	80	80	1	13.42	331.9
2026-04-16T21:53:06Z	2	80	80	1	11.98	332.6
2026-04-16T21:53:38Z	2	80	80	1	14.54	333.5
2026-04-16T21:59:10Z	3	120	120	1	20.34	440.4
2026-04-16T21:59:43Z	3	120	120	1	20.56	440.5
2026-04-16T22:00:15Z	3	120	120	1	19.76	438.6
2026-04-16T22:00:47Z	3	120	120	1	17.84	442.3
2026-04-16T22:01:19Z	3	120	120	1	23.17	441.6
2026-04-16T22:01:51Z	3	120	120	1	18.87	443.1
2026-04-16T22:02:23Z	3	120	120	1	17.11	441.2
2026-04-16T22:02:55Z	3	120	120	1	19.98	438.7
2026-04-16T22:03:27Z	3	120	120	1	20.62	444.9
2026-04-16T22:03:59Z	3	120	120	1	21.12	445.3
2026-04-16T22:04:31Z	3	120	120	1	18.41	443.7
2026-04-16T22:05:03Z	3	120	120	1	16.68	441.7
2026-04-16T22:05:35Z	3	120	120	1	19.35	444.3
2026-04-16T22:06:07Z	3	120	120	1	15.24	444.9
2026-04-16T22:06:39Z	3	120	120	1	15.34	446.6
2026-04-16T22:07:11Z	3	120	120	1	17.55	445.7
2026-04-16T22:07:43Z	3	120	120	1	17.79	447.1
2026-04-16T22:08:15Z	3	120	120	1	19.24	445.7
2026-04-16T22:08:47Z	3	120	120	1	19.88	444.4
