timestamp	step	target_feeds	active_feeds	ffmpeg_count	cpu_pct	rss_mb
2026-04-16T02:45:57Z	6	1500	1481	603	98.42	10659.8
2026-04-16T02:46:29Z	6	1500	1485	607	101.49	10721.3
2026-04-16T02:47:01Z	6	1500	1484	606	116.39	10721.3
2026-04-16T02:47:33Z	6	1500	1483	605	113.23	10721.3
2026-04-16T02:48:05Z	6	1500	1482	604	105.82	10721.3
2026-04-16T02:48:37Z	6	1500	1482	604	106.51	10741.8
2026-04-16T02:49:10Z	6	1500	1484	606	108.39	10782.7
2026-04-16T02:49:42Z	6	1500	1483	605	109.75	10772.5
2026-04-16T02:50:14Z	6	1500	1482	605	113.42	10772.5
2026-04-16T02:50:46Z	6	1500	1482	604	108.53	10752
2026-04-16T02:51:18Z	6	1500	1482	604	108.62	10782.7
2026-04-16T02:51:50Z	6	1500	1484	606	113.63	10813.4
2026-04-16T02:52:23Z	6	1500	1484	606	122.07	10823.7
2026-04-16T02:52:55Z	6	1500	1484	606	108.79	10823.7
2026-04-16T02:53:27Z	6	1500	1484	606	103.49	10823.7
2026-04-16T02:53:59Z	6	1500	1484	606	100.00	10833.9
