directional_tail_area,estimate,holm_adjusted_tail_area,holm_family,holm_family_size,lower,metric,population,record_id,record_type,relative_change_percent,two_sided_tail_area,upper
,32.53702987017556,,,,29.81676075013093,wer,main_primary_4098,R0-base,cell,,,35.320808861492566
,23.212304177545693,,,,20.781204044991657,cer,main_primary_4098,R0-base,cell,,,25.676022434070653
,3.746965485698202,,,,3.3015894389271203,insertions_per_100_reference_words,main_primary_4098,R0-base,cell,,,4.244778324498015
,51.73427395649618,,,,46.93747290462428,keyword_occurrence_recall,main_primary_4098,R0-base,cell,,,56.331699140542405
,0.0,,,,0.0,context_copy_rate,main_primary_4098,R0-base,cell,,,0.0
,0.0,,,,0.0,prior_only_token_rate,main_primary_4098,R0-base,cell,,,0.0
,0.0,,,,0.0,realized_trigram_yield_per_1000,main_primary_4098,R0-base,cell,,,0.0
,0.0,,,,0.0,donor_null_copy_rate,main_primary_4098,R0-base,cell,,,0.0
,0.0,,,,0.0,matched_excess_copy_rate,main_primary_4098,R0-base,cell,,,0.0
,33.42715406536959,,,,30.29179199125621,wer,main_primary_4098,R1-base,cell,,,36.59918688604602
,23.33795691906005,,,,20.765382568051365,cer,main_primary_4098,R1-base,cell,,,25.966711026494703
,5.583506315308025,,,,4.706107090171492,insertions_per_100_reference_words,main_primary_4098,R1-base,cell,,,6.605264433988385
,54.37977660199883,,,,49.2079518374514,keyword_occurrence_recall,main_primary_4098,R1-base,cell,,,59.376951157531565
,3.7014377485469563,,,,2.6501414196843895,context_copy_rate,main_primary_4098,R1-base,cell,,,5.051797218259144
,3.935495398910033,,,,3.1408643393882976,prior_only_token_rate,main_primary_4098,R1-base,cell,,,4.889566317102676
,22.451612903225808,,,,14.799286021132284,realized_trigram_yield_per_1000,main_primary_4098,R1-base,cell,,,32.535346291150326
,0.04741511165494035,,,,0.004340025231168246,donor_null_copy_rate,main_primary_4098,R1-base,cell,,,0.15756249424042323
,3.654022636892016,,,,2.5978501960127334,matched_excess_copy_rate,main_primary_4098,R1-base,cell,,,4.999720665022601
,33.51159272420223,,,,30.20710170393387,wer,main_primary_4098,R2-base,cell,,,36.90187103018792
,23.10378590078329,,,,20.487042544041998,cer,main_primary_4098,R2-base,cell,,,25.76806602069554
,6.0444006614361605,,,,4.959776149743398,insertions_per_100_reference_words,main_primary_4098,R2-base,cell,,,7.3252715919369455
,56.02586713697825,,,,50.75559919171501,keyword_occurrence_recall,main_primary_4098,R2-base,cell,,,61.09425495873229
,4.091174751607247,,,,2.9284114204967295,context_copy_rate,main_primary_4098,R2-base,cell,,,5.49486696261509
,4.879361377702036,,,,3.9067883979270066,prior_only_token_rate,main_primary_4098,R2-base,cell,,,5.994190478022248
,15.52502356033927,,,,10.086768948973937,realized_trigram_yield_per_1000,main_primary_4098,R2-base,cell,,,23.05888266162006
,0.015488018702513151,,,,0.00370140256998948,donor_null_copy_rate,main_primary_4098,R2-base,cell,,,0.03324802795895024
,4.075686732904734,,,,2.912774840688778,matched_excess_copy_rate,main_primary_4098,R2-base,cell,,,5.478435916989728
,32.484255708405165,,,,29.397896079259368,wer,main_primary_4098,R4-base,cell,,,35.70226103671198
,22.637075718015666,,,,20.112705753896176,cer,main_primary_4098,R4-base,cell,,,25.264157806424123
,5.435738662350913,,,,4.553786215834313,insertions_per_100_reference_words,main_primary_4098,R4-base,cell,,,6.525480269843238
