analysis_id,analysis_status,dimension,stratum_id,row_count,source_cluster_count,target,record_type,record_id,metric,estimate,lower,upper,numerator,denominator,status,unit
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R0,wer,36.73017279574657,32.382870081015106,41.10828512462426,829,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R1,wer,37.08462560921577,32.24228151590565,42.051016425468255,837,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R1,context_copy_rate,0.2188183807439825,0.0,0.7308205298060416,2,914,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R1,prior_only_token_rate,4.531346989447548,2.4208322524306607,7.67471834585837,73,1611,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R8,wer,34.95790872840053,30.232238691541017,39.785507823833576,789,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R8,context_copy_rate,0.6514657980456026,0.10100247184839331,1.441321754126631,6,921,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,cell,R8,prior_only_token_rate,9.852216748768473,6.985831196656246,12.82770466028957,160,1624,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,effect,R8_minus_R1,wer,-2.1267168808152377,-4.799120144621218,0.35034068051459305,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,effect,R8_minus_R1,context_copy_rate,0.43264741730162004,-0.11299584729295596,1.1702463653289188,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,prior_context_sft,effect,R8_minus_R1,prior_only_token_rate,5.320869759320925,2.428603555339643,8.130244119888813,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R0,wer,45.22727272727273,41.250765770460205,49.21553765150249,1990,4400,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R1,wer,46.56818181818182,41.97274468809818,51.284349748066184,2049,4400,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R1,context_copy_rate,2.8268551236749118,1.284390582261252,4.844290657439446,24,849,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R1,prior_only_token_rate,6.601218686526743,4.5969470415589715,8.986622114474335,195,2954,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R8,wer,44.36363636363637,40.14115902552488,48.70721967030297,1952,4400,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R8,context_copy_rate,2.132435465768799,0.8860759493670886,3.78156938451056,19,891,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,cell,R8,prior_only_token_rate,10.91283459162663,8.654212060175233,13.260052374652066,318,2914,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,effect,R8_minus_R1,wer,-2.2045454545454533,-4.186887594302549,-0.2296054070858619,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,effect,R8_minus_R1,context_copy_rate,-0.6944196579061126,-2.2948784514938407,0.8357266195107479,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,base,effect,R8_minus_R1,prior_only_token_rate,4.311615905099887,1.895888937569397,6.683577824983716,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R0,wer,32.09090909090909,28.783129738473672,35.313023031256705,1412,4400,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R1,wer,31.477272727272727,28.196385509090412,34.84782757008554,1385,4400,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R1,context_copy_rate,1.1074197120708749,0.32430683110294767,2.15323913118309,10,903,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R1,prior_only_token_rate,3.1408629441624365,1.9468878066163806,4.747021860538529,99,3152,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R8,wer,29.0,25.88940452525725,32.167997927504466,1276,4400,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R8,context_copy_rate,1.6611295681063123,0.7134212495550104,2.874135772063405,15,903,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,cell,R8,prior_only_token_rate,6.004471414883424,4.575769501026525,7.538376809449947,188,3131,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,effect,R8_minus_R1,wer,-2.4772727272727266,-4.21906871270164,-0.9365159716116449,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,effect,R8_minus_R1,context_copy_rate,0.5537098560354374,-0.5464480874316939,1.713638790889672,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,no_context_sft,effect,R8_minus_R1,prior_only_token_rate,2.8636084707209877,0.9796235271390723,4.588635380411586,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R0,wer,32.88636363636363,29.60904382990874,36.159855858790046,1447,4400,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R1,wer,31.045454545454547,27.887212945845615,34.26331777470676,1366,4400,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R1,context_copy_rate,1.1148272017837235,0.3525160953972956,2.1105667225013955,10,897,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R1,prior_only_token_rate,3.9377580184185454,2.8104496767864102,5.160195977052587,124,3149,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q2,1024,312,prior_context_sft,cell,R8,wer,29.522727272727273,26.245397728072522,32.77607054805997,1299,4400,descriptive_percentile_interval,percent
