directional_tail_area,estimate,holm_adjusted_tail_area,holm_family,holm_family_size,lower,metric,population,record_id,record_type,relative_change_percent,two_sided_tail_area,upper
,32.55813953488372,,,,29.798100581165013,wer,main_p13_primary_4098,P0-base,cell,,,35.353408814820185
,23.308583550913838,,,,20.826779273583245,cer,main_p13_primary_4098,P0-base,cell,,,25.80024437799913
,3.7786299827604406,,,,3.3349608962202817,insertions_per_100_reference_words,main_p13_primary_4098,P0-base,cell,,,4.2556156101732645
,52.0870076425632,,,,47.337882758824925,keyword_occurrence_recall,main_p13_primary_4098,P0-base,cell,,,56.71653036805124
,0.0,,,,0.0,context_copy_rate,main_p13_primary_4098,P0-base,cell,,,0.0
,0.0,,,,0.0,prior_only_token_rate,main_p13_primary_4098,P0-base,cell,,,0.0
,0.0,,,,0.0,realized_trigram_yield_per_1000,main_p13_primary_4098,P0-base,cell,,,0.0
,0.0,,,,0.0,donor_null_copy_rate,main_p13_primary_4098,P0-base,cell,,,0.0
,0.0,,,,0.0,matched_excess_copy_rate,main_p13_primary_4098,P0-base,cell,,,0.0
,32.53702987017556,,,,29.81676075013093,wer,main_p13_primary_4098,R0-base,cell,,,35.320808861492566
,23.212304177545693,,,,20.781204044991657,cer,main_p13_primary_4098,R0-base,cell,,,25.676022434070653
,3.746965485698202,,,,3.3015894389271203,insertions_per_100_reference_words,main_p13_primary_4098,R0-base,cell,,,4.244778324498015
,51.73427395649618,,,,46.93747290462428,keyword_occurrence_recall,main_p13_primary_4098,R0-base,cell,,,56.331699140542405
,0.0,,,,0.0,context_copy_rate,main_p13_primary_4098,R0-base,cell,,,0.0
,0.0,,,,0.0,prior_only_token_rate,main_p13_primary_4098,R0-base,cell,,,0.0
,0.0,,,,0.0,realized_trigram_yield_per_1000,main_p13_primary_4098,R0-base,cell,,,0.0
,0.0,,,,0.0,donor_null_copy_rate,main_p13_primary_4098,R0-base,cell,,,0.0
,0.0,,,,0.0,matched_excess_copy_rate,main_p13_primary_4098,R0-base,cell,,,0.0
,33.42715406536959,,,,30.29179199125621,wer,main_p13_primary_4098,R1-base,cell,,,36.59918688604602
,23.33795691906005,,,,20.765382568051365,cer,main_p13_primary_4098,R1-base,cell,,,25.966711026494703
,5.583506315308025,,,,4.706107090171492,insertions_per_100_reference_words,main_p13_primary_4098,R1-base,cell,,,6.605264433988385
